priority,status,category,ichome_title,jan,price,url,matched_product_name,matched_by
A,new_candidate,スマートフォン,iPhone Air 256GB スペースブラック,4549995647501,115000,https://www.1-chome.com/mobileDetail/1367/1367,,
A,new_candidate,スマートフォン,iPhone Air 256GB ライトゴールド,4549995647525,115000,https://www.1-chome.com/mobileDetail/1367/1367,,
A,new_candidate,スマートフォン,Google Pixel 10 128GB Frost,,89000,https://www.1-chome.com/mobileDetail/1342/1342,,
A,new_candidate,スマートフォン,Google Pixel 10 128GB Indigo,,89000,https://www.1-chome.com/mobileDetail/1342/1342,,
A,new_candidate,スマートフォン,Google Pixel 10 128GB Lemongrass,,89000,https://www.1-chome.com/mobileDetail/1342/1342,,
A,new_candidate,スマートフォン,Google Pixel 10 128GB Obsidian,,89000,https://www.1-chome.com/mobileDetail/1342/1342,,
A,new_candidate,スマートフォン,iPhone 16e 512GB ブラック,4549995559033,85000,https://www.1-chome.com/mobileDetail/1228/1228,,
A,new_candidate,スマートフォン,iPhone 16e 512GB ホワイト,4549995559040,85000,https://www.1-chome.com/mobileDetail/1228/1228,,
A,new_candidate,スマートフォン,iPhone 16e 256GB ブラック,4549995559019,75000,https://www.1-chome.com/mobileDetail/1227/1227,,
A,new_candidate,スマートフォン,iPhone 16e 256GB ホワイト,4549995559026,75000,https://www.1-chome.com/mobileDetail/1227/1227,,
A,new_candidate,スマートフォン,Google Pixel 10a 256GB Fog,,72000,https://www.1-chome.com/mobileDetail/1479/1479,,
A,new_candidate,スマートフォン,Google Pixel 10a 256GB Isai Blue,,72000,https://www.1-chome.com/mobileDetail/1479/1479,,
A,new_candidate,スマートフォン,Google Pixel 10a 256GB Lavender,,72000,https://www.1-chome.com/mobileDetail/1479/1479,,
A,new_candidate,スマートフォン,Google Pixel 10a 256GB Obsidian,,72000,https://www.1-chome.com/mobileDetail/1479/1479,,
A,new_candidate,スマートフォン,iPhone 16e 128GB ブラック,4549995558999,70000,https://www.1-chome.com/mobileDetail/1226/1226,,
A,new_candidate,スマートフォン,iPhone 16e 128GB ホワイト,4549995559002,70000,https://www.1-chome.com/mobileDetail/1226/1226,,
A,new_candidate,スマートフォン,Google Pixel 9a 256GB Iris,,68500,https://www.1-chome.com/mobileDetail/1264/1264,,
A,new_candidate,スマートフォン,Google Pixel 9a 256GB Obsidian,,68500,https://www.1-chome.com/mobileDetail/1264/1264,,
A,new_candidate,スマートフォン,Google Pixel 9a 256GB Peony,,68500,https://www.1-chome.com/mobileDetail/1264/1264,,
A,new_candidate,スマートフォン,Google Pixel 9a 256GB Porcelain,,68500,https://www.1-chome.com/mobileDetail/1264/1264,,
A,new_candidate,ゲーム,Nintendo Switch 2（日本語・国内専用）スプラトゥーン レイダース セット,4902370554779,64980,https://www.1-chome.com/wineDetail/9564/9564,,
A,new_candidate,スマートフォン,Google Pixel 10a 128GB Berry,,59500,https://www.1-chome.com/mobileDetail/1478/1478,,
A,new_candidate,スマートフォン,Google Pixel 10a 128GB Fog,,59500,https://www.1-chome.com/mobileDetail/1478/1478,,
A,new_candidate,スマートフォン,Google Pixel 10a 128GB Lavender,,59500,https://www.1-chome.com/mobileDetail/1478/1478,,
A,new_candidate,スマートフォン,Google Pixel 10a 128GB Obsidian,,59500,https://www.1-chome.com/mobileDetail/1478/1478,,
A,new_candidate,スマートフォン,Google Pixel 9a 128GB Iris,,58000,https://www.1-chome.com/mobileDetail/1263/1263,,
A,new_candidate,スマートフォン,Google Pixel 9a 128GB Obsidian,,58000,https://www.1-chome.com/mobileDetail/1263/1263,,
A,new_candidate,スマートフォン,Google Pixel 9a 128GB Peony,,58000,https://www.1-chome.com/mobileDetail/1263/1263,,
A,new_candidate,スマートフォン,Google Pixel 9a 128GB Porcelain,,58000,https://www.1-chome.com/mobileDetail/1263/1263,,
B,new_candidate,その他,Apple Watch Ultra 4 GPS+Cellular 49mm ナチュラル,,110000,https://www.1-chome.com/mobileDetail/1663/1663,,
B,new_candidate,その他,Apple Watch Ultra 4 GPS+Cellular 49mm ブラック,,110000,https://www.1-chome.com/mobileDetail/1662/1662,,
B,new_candidate,その他,Apple Watch Ultra 3 GPS+Cellular 49mm ナチュラル チタニウムケース アルパインループ L 【MEWP4J/A】,4549995627220,90000,https://www.1-chome.com/mobileDetail/1391/1391,,
B,new_candidate,その他,Apple Watch Ultra 3 GPS+Cellular 49mm ナチュラル チタニウムケース アルパインループ M 【MEWM4J/A】,4549995627213,90000,https://www.1-chome.com/mobileDetail/1391/1391,,
B,new_candidate,その他,Apple Watch Ultra 3 GPS+Cellular 49mm ナチュラル チタニウムケース アルパインループ S 【MEWK4J/A】,4549995627206,90000,https://www.1-chome.com/mobileDetail/1391/1391,,
B,new_candidate,その他,Apple Watch Ultra 3 GPS+Cellular 49mm ナチュラル チタニウムケース オーシャンバンド フリーサイズ 【MEWH4J/A】,4549995627190,90000,https://www.1-chome.com/mobileDetail/1391/1391,,
B,new_candidate,その他,Apple Watch Ultra 3 GPS+Cellular 49mm ナチュラル チタニウムケース トレイルループ M/L 【MEWU4J/A】,4549995627244,90000,https://www.1-chome.com/mobileDetail/1391/1391,,
B,new_candidate,その他,Apple Watch Ultra 3 GPS+Cellular 49mm ナチュラル チタニウムケース トレイルループ S/M 【MEWR4J/A】,4549995627237,90000,https://www.1-chome.com/mobileDetail/1391/1391,,
B,new_candidate,その他,Apple Watch Ultra 3 GPS+Cellular 49mm ナチュラル チタニウムケース ミラネーゼループ L 【MF0E4J/A】,4549995627275,90000,https://www.1-chome.com/mobileDetail/1391/1391,,
B,new_candidate,その他,Apple Watch Ultra 3 GPS+Cellular 49mm ナチュラル チタニウムケース ミラネーゼループ M 【MEWY4J/A】,4549995627268,90000,https://www.1-chome.com/mobileDetail/1391/1391,,
