product_name,msrp,effective_date,source_url,matched_title,price_type
DualSense ブルー,11285,2000-01-01,https://www.amazon.co.jp/%E3%82%BD%E3%83%8B%E3%83%BC%E3%83%BB%E3%82%A4%E3%83%B3%E3%82%BF%E3%83%A9%E3%82%AF%E3%83%86%E3%82%A3%E3%83%96%E3%82%A8%E3%83%B3%E3%82%BF%E3%83%86%E3%82%A4%E3%83%B3%E3%83%A1%E3%83%B3%E3%83%88-CFI-ZCT2J15-%E3%80%90%E7%B4%94%E6%AD%A3%E5%93%81%E3%80%91DualSense-%E3%83%AF%E3%82%A4%E3%83%A4%E3%83%AC%E3%82%B9%E3%82%B3%E3%83%B3%E3%83%88%E3%83%AD%E3%83%BC%E3%83%A9%E3%83%BC-%E3%83%96%E3%83%AB%E3%83%BC%EF%BC%88CFI-ZCT2J15%EF%BC%89/dp/B0GGH3WYF8,,
DualSense パープル,12999,2000-01-01,https://www.amazon.co.jp/%E3%80%90%E7%B4%94%E6%AD%A3%E5%93%81%E3%80%91DualSense-%E3%83%AF%E3%82%A4%E3%83%A4%E3%83%AC%E3%82%B9%E3%82%B3%E3%83%B3%E3%83%88%E3%83%AD%E3%83%BC%E3%83%A9%E3%83%BC-%E3%82%AE%E3%83%A3%E3%83%A9%E3%82%AF%E3%83%86%E3%82%A3%E3%83%83%E3%82%AF-%E3%83%91%E3%83%BC%E3%83%97%E3%83%AB-CFI-ZCT2J04/dp/B0FX55BBS8,,
DualSense ピンク,11480,2000-01-01,manual,手動補正,
DualSense レッド,11980,2000-01-01,https://www.amazon.co.jp/%E3%80%90%E7%B4%94%E6%AD%A3%E5%93%81%E3%80%91DualSense-%E3%83%AF%E3%82%A4%E3%83%A4%E3%83%AC%E3%82%B9%E3%82%B3%E3%83%B3%E3%83%88%E3%83%AD%E3%83%BC%E3%83%A9%E3%83%BC-%E3%83%B4%E3%82%A9%E3%83%AB%E3%82%AB%E3%83%8B%E3%83%83%E3%82%AF-%E3%83%AC%E3%83%83%E3%83%89-CFI-ZCT1J07/dp/B0CK86ZXHJ,,
DualSense ブラック,12999,2000-01-01,https://www.amazon.co.jp/%E3%80%90%E7%B4%94%E6%AD%A3%E5%93%81%E3%80%91DualSense-%E3%83%AF%E3%82%A4%E3%83%A4%E3%83%AC%E3%82%B9%E3%82%B3%E3%83%B3%E3%83%88%E3%83%AD%E3%83%BC%E3%83%A9%E3%83%BC-%E3%83%9F%E3%83%83%E3%83%89%E3%83%8A%E3%82%A4%E3%83%88-%E3%83%96%E3%83%A9%E3%83%83%E3%82%AF-CFI-ZCT2J01/dp/B0FX53RQ1B,,
DualSense ホワイト,11480,2000-01-01,manual,手動補正,
Switch Proコン,12999,2000-01-01,https://www.amazon.co.jp/%E3%80%90%E4%BB%BB%E5%A4%A9%E5%A0%82%E7%B4%94%E6%AD%A3%E5%93%81%E3%80%91Nintendo-Switch-Pro%E3%82%B3%E3%83%B3%E3%83%88%E3%83%AD%E3%83%BC%E3%83%A9%E3%83%BC-%E3%80%90Amazon-co-jp%E9%99%90%E5%AE%9A%E7%89%B9%E5%85%B8%E3%80%91Nintendo-%E3%83%AD%E3%82%B4%E3%83%87%E3%82%B6%E3%82%A4%E3%83%B3%E3%82%B9%E3%83%86%E3%83%83%E3%82%AB%E3%83%BC/dp/B0F54NGNRK,,
Joy-Con 2 ブルー/レッドセット,9980,2000-01-01,manual,手動補正,
Joy-Con 2 パープル/グリーンセット,9980,2000-01-01,manual,手動補正,
Joy-Con 2 L ライトブルー,5480,2000-01-01,manual,手動補正,
Joy-Con 2 R ライトレッド,5480,2000-01-01,manual,手動補正,
